Neighborhood,Price,Bedrooms,Bathrooms,House Size,Description,Neighborhood Description
Nob Hill,1500000,2,2,1200,"Charming 2 bedroom, 2 bathroom condo with stunning city views. Updated kitchen and spacious living room.","Nob Hill is known for its historic mansions, cable cars, and upscale boutiques."
SoMa,1300000,3,2,1400,"Modern 3 bedroom, 2 bathroom loft with high ceilings and industrial finishes. Open floor plan perfect for entertaining.","SoMa is a vibrant neighborhood with tech offices, trendy restaurants, and art galleries."
Financial District,1800000,2,2.5,1600,"Luxurious 2 bedroom, 2.5 bathroom penthouse with panoramic views of the Bay Bridge and skyline. Gourmet kitchen and marble bathrooms.","The Financial District is the heart of San Francisco's business district, with high-rise buildings and upscale dining options."
Union Square,1200000,1,1,900,"Cozy 1 bedroom, 1 bathroom apartment with hardwood floors and a private balcony. Close to shopping and dining in Union Square.","Union Square is a bustling commercial area with upscale department stores, theaters, and art galleries."
Chinatown,1000000,2,1,1000,"Spacious 2 bedroom, 1 bathroom condo with a modern kitchen and hardwood floors. Walking distance to Chinatown's vibrant shops and restaurants.","Chinatown is a bustling neighborhood with colorful lanterns, dim sum restaurants, and traditional Chinese architecture."
North Beach,1400000,3,2,1500,"Bright 3 bedroom, 2 bathroom townhouse with a private patio and garage parking. Close to Washington Square Park and Italian cafes.","North Beach is a lively neighborhood known for its Italian heritage, cafes, and nightlife."
Mission District,1100000,2,1.5,1100,"Remodeled 2 bedroom, 1.5 bathroom Victorian home with a landscaped backyard. Original details and modern amenities.","The Mission District is a diverse neighborhood with vibrant murals, hipster cafes, and trendy shops."
Hayes Valley,1600000,4,3,1800,"Spacious 4 bedroom, 3 bathroom Victorian home with a modern kitchen and backyard garden. Close to Hayes Valley's boutiques and restaurants.","Hayes Valley is a trendy neighborhood known for its upscale boutiques, hip cafes, and proximity to the arts district."
Tenderloin,900000,1,1,800,"Cozy 1 bedroom, 1 bathroom apartment with a renovated kitchen and city views. Close to theaters and nightlife in the Tenderloin.","The Tenderloin is a historic neighborhood with a mix of residential buildings, theaters, and diverse dining options."
Russian Hill,1700000,3,2.5,1700,"Elegant 3 bedroom, 2.5 bathroom townhouse with a private rooftop deck and views of the Golden Gate Bridge. Gourmet kitchen and luxurious master suite.","Russian Hill is a picturesque neighborhood with steep hills, historic cable cars, and stunning views of the bay."